NonFruit_Odor Data,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
,295,14,256,258,29,24,41
,279,15,241,237,27,24,41
,260,15,224,221,28,24,41
,288,13,249,253,30,24,41
,262,15,218,228,28,24,41
,277,15,238,244,28,24,41
,288,14,252,251,27,24,41
,259,15,224,232,29,24,41
,288,15,246,255,28,24,41
,285,15,258,250,28,24,41
,268,15,227,235,27,24,41
,259,15,225,223,29,24,41
,262,16,228,231,28,24,41
,255,15,235,226,28,24,41
,271,16,231,236,30,24,41
,283,15,253,251,29,24,41
,296,16,256,255,27,24,41
,264,15,224,227,28,24,41
,268,14,236,240,27,24,41
,286,16,262,245,27,24,41
,253,16,223,221,28,24,41
,280,15,253,251,28,24,41
,286,17,262,254,28,24,41
,264,15,220,226,28,24,41
,296,15,259,254,30,24,41
,250,17,222,221,28,24,41
,287,16,250,260,29,24,41
,272,18,242,242,28,24,41
,257,17,229,234,29,24,41
,291,16,248,254,29,24,41
,273,15,231,231,29,24,41
,270,16,212,239,29,24,41
,281,16,242,242,29,24,41
,287,18,253,252,29,24,41
,248,16,232,223,29,24,41
,295,17,249,254,29,24,41
,257,15,229,232,30,24,41
,296,15,261,261,27,24,41
,270,18,235,237,28,24,41
,265,16,229,239,28,24,41
,293,15,263,257,27,24,41
,274,18,236,234,29,24,41
,244,16,229,218,27,24,41
,292,16,249,255,30,24,41
,284,15,255,247,30,24,41
,268,15,233,223,29,24,41
,271,15,237,237,30,24,41
,293,15,251,255,29,24,41
,259,15,233,227,28,24,41
,278,18,255,244,29,24,41
,296,16,243,264,25,24,41
,274,15,243,241,29,24,41
,265,18,243,240,29,24,41
,275,16,242,241,27,24,41
,291,16,250,256,28,24,41
,297,17,252,257,27,24,41
,284,16,247,256,28,24,41
,276,15,243,243,29,24,41
,269,16,237,238,30,24,41
,265,14,227,233,27,24,41
,256,15,220,225,29,24,41
,266,16,228,227,29,24,41
,278,17,241,243,28,24,41
,277,16,244,245,29,24,41
,273,16,238,235,29,24,41
,262,15,218,227,29,24,41
,265,16,231,230,29,24,41
,275,16,242,244,29,24,41
,298,16,258,257,30,24,41
,254,15,226,217,29,24,41
,287,16,257,251,28,24,41
,264,16,223,227,29,24,41
,290,17,251,258,29,24,41
,273,16,238,238,29,24,41
,265,15,217,229,29,24,41
,281,16,246,247,27,24,41
,282,15,244,249,30,24,41
,260,15,233,230,30,24,41
,267,16,239,227,28,24,41
,294,16,258,255,30,24,41
,271,16,243,232,28,24,41
,261,17,233,224,30,24,41
,282,16,239,245,29,24,41
,287,15,256,248,29,24,41
,291,16,262,264,29,24,41
,298,16,254,264,29,24,41
,284,16,248,253,29,24,41
,247,15,229,225,29,24,41
,263,16,228,238,30,24,41
,296,15,259,259,31,24,41
,277,16,246,245,30,24,41
,270,16,220,232,29,24,41
,263,16,235,230,31,24,41
,297,16,252,258,29,24,41
,273,16,238,238,29,24,41
,264,18,226,221,28,24,41
,263,16,224,236,28,24,41
,264,18,232,231,29,24,41
,271,16,239,238,29,24,41
,274,17,235,236,29,24,41
,272,18,241,232,30,24,41
,255,15,235,232,30,24,41
,263,16,232,232,31,24,41
,265,15,221,232,30,24,41
,283,17,246,247,30,24,41
,287,17,243,259,29,24,41
,270,16,220,225,29,24,41
,299,17,263,264,30,24,41
,258,17,235,229,31,24,41
,286,16,260,250,29,24,41
,251,18,230,227,29,24,41
,283,17,251,247,29,24,41
,279,16,246,253,29,24,41
,264,16,226,237,32,24,41
,263,16,228,229,29,24,41
,272,16,239,241,30,24,41
,270,17,242,224,29,24,41
,258,16,232,222,29,24,41
,267,15,232,224,30,24,41
,275,15,242,241,30,24,41
,296,15,255,271,30,24,41
,278,18,237,242,27,24,41
,270,15,229,241,32,24,41
,288,16,245,250,30,24,41
,274,16,234,242,31,24,41
,278,17,246,244,30,24,41
,292,15,252,250,30,24,41
,281,17,243,241,30,24,41
,267,16,236,232,29,24,41
,264,16,230,226,30,24,41
,269,15,229,230,30,24,41
,275,16,241,242,30,24,41
,278,15,253,246,30,24,41
,285,17,253,252,30,24,41
,281,16,247,245,30,24,41
,278,15,251,244,30,24,41
,268,17,238,245,30,24,41
,254,16,225,219,31,24,41
,265,16,219,229,30,24,41
,267,16,218,234,31,24,41
,270,15,239,240,30,24,41
,277,16,239,239,30,24,41
,294,16,264,256,30,24,41
,281,17,255,247,30,24,41
,256,14,216,230,31,24,41
,280,18,250,245,29,24,41
,281,16,250,245,30,24,41
,258,17,231,227,29,24,41
,282,17,243,245,30,24,41
,299,18,252,267,29,24,41
,267,16,238,246,31,24,41
,266,16,240,236,30,24,41
,294,17,261,255,31,24,41
,260,15,240,229,30,24,41
,274,17,241,240,30,24,41
,291,19,245,255,29,24,41
,275,17,232,240,30,24,41
,257,16,225,227,30,24,41
,302,15,255,257,32,24,41
,281,15,242,245,29,24,41
,262,17,238,241,30,24,41
,260,15,235,229,31,24,41
,258,16,219,231,30,24,41
,273,17,240,243,30,24,41
,277,17,249,247,29,24,41
,287,17,248,252,30,24,41
,272,16,230,227,30,24,41
,268,18,236,230,29,24,41
,297,16,263,256,31,24,41
,265,15,233,235,30,24,41
,260,17,226,225,31,24,41
,286,17,244,252,30,24,41
,283,17,239,243,30,24,41
,271,16,238,236,30,24,41
,298,15,263,258,30,24,41
,269,17,237,240,30,24,41
,271,16,233,236,31,24,41
,285,17,251,241,29,24,41
,279,16,242,245,30,24,41
,250,15,223,224,31,24,41
,285,16,241,244,30,24,41
,285,16,259,247,29,24,41
,256,17,222,227,30,24,41
,279,17,239,245,30,24,41
,293,17,259,251,30,24,41
,295,15,263,254,31,24,41
,278,17,245,245,31,24,41
,266,17,238,239,27,24,41
,266,18,224,232,31,24,41
,270,17,228,233,32,24,41
,284,17,252,246,30,24,41
,289,16,247,252,31,24,41
,257,17,224,228,32,24,41
,283,17,253,248,32,24,41
,288,17,262,254,31,24,41
,267,16,242,231,30,24,41
,260,16,228,236,30,24,41
,265,17,220,231,30,24,41
,310,18,274,271,29,24,41
,233,17,209,202,32,24,41
,276,18,237,235,27,24,41
,281,16,248,247,29,24,41
,293,17,250,256,30,24,41
,265,17,230,232,31,24,41
,291,17,254,253,31,24,41
,269,18,231,236,31,24,41
,305,18,260,256,32,24,41
,254,17,236,228,30,24,41
,281,17,246,247,30,24,41
,281,16,248,249,31,24,41
,264,17,231,232,31,24,41
,297,16,261,254,31,24,41
,269,16,235,237,31,24,41
,274,16,244,240,30,24,41
,293,16,245,260,31,24,41
,270,17,237,234,30,24,41
,261,17,224,228,29,24,41
,266,17,224,237,31,24,41
,272,16,242,243,31,24,41
,295,17,249,262,31,24,41
,278,17,246,258,32,24,41
,257,19,233,223,32,24,41
,281,17,247,246,33,24,41
,290,15,253,253,31,24,41
,269,17,240,239,30,24,41
,251,17,238,229,31,24,41
,296,17,261,261,30,24,41
,271,17,234,237,31,24,41
,261,17,233,237,31,24,41
,294,19,252,257,29,24,41
,298,17,254,260,31,24,41
,284,17,245,248,32,24,41
,275,17,236,238,30,24,41
,272,19,229,237,31,24,41
,268,16,228,233,31,24,41
,269,16,237,234,32,24,41
,279,17,242,239,30,24,41
